	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6
gene_104	3	0	11	2	4	0	0	15	1	0	0
gene_105	52	12	47	1	88	26	9	8	7	10	19
gene_106	75	115	109	71	70	40	25	16	31	11	42
gene_107	394	717	488	679	677	202	158	140	200	184	149
gene_108	3	3	6	0	0	0	1	0	2	0	0
gene_109	51	35	56	55	48	7	7	16	11	10	6
gene_110	184	198	136	96	253	61	66	30	67	46	58
gene_111	162	252	240	190	251	71	64	64	45	70	71
gene_112	4	7	9	0	12	0	0	3	1	0	0
gene_113	124	112	115	120	96	30	21	19	19	26	29
gene_114	3	8	4	7	10	3	2	1	3	1	0
gene_115	9	11	9	1	1	1	3	2	1	1	0
gene_116	18	15	28	43	1	4	10	0	5	0	4
gene_117	29	85	61	61	57	18	1	12	2	10	10
gene_118	598	844	592	552	588	195	210	213	224	187	213
gene_119	744	660	437	766	602	102	350	50	104	187	164
gene_120	51	0	41	12	16	0	5	1	2	1	16
gene_121	9121	9631	5749	9879	8524	2630	1470	1333	1785	2896	2435
gene_122	280	128	355	364	256	56	63	84	77	61	77
gene_123	58	23	7	7	26	7	19	20	4	5	8
gene_124	14	28	46	8	31	4	9	13	7	7	17
gene_125	48	70	100	92	90	19	19	18	15	25	30
gene_126	130	434	246	253	290	28	53	103	24	93	43
gene_127	159	136	127	170	181	43	57	47	41	29	36
gene_128	14	14	13	5	0	7	1	17	6	0	1
gene_129	492	609	637	605	536	134	108	154	175	98	123
gene_130	9	18	11	11	17	2	0	0	5	3	2
gene_131	327	370	486	520	408	103	73	113	46	135	76
gene_132	11	0	0	4	13	3	0	1	1	0	0
gene_133	22	21	0	1	3	0	2	0	0	1	0
gene_134	345	496	304	432	283	67	126	75	72	49	52
gene_135	195	204	291	254	528	59	134	84	73	81	125
gene_136	406	249	211	210	181	30	31	43	39	37	49
gene_137	172	152	130	118	136	35	40	40	42	32	38
gene_138	43	260	13	556	117	120	0	0	4	28	49
gene_139	1	26	0	0	27	0	4	0	1	0	0
gene_140	417	414	411	415	430	109	118	117	110	109	101
gene_141	20	33	37	37	22	15	5	11	11	6	9
gene_142	40	0	0	1	1	2	0	3	1	2	0
gene_143	116	176	70	103	104	13	18	18	32	2	3
gene_144	17	11	61	17	2	1	0	0	1	8	6
gene_145	3	1	3	40	47	136	3	77	4	41	27
gene_146	501	626	750	970	686	307	232	130	227	279	223
gene_147	242	200	252	335	247	49	72	57	64	43	76
gene_148	57	26	69	34	53	15	8	21	3	30	4
gene_149	106	92	121	195	96	10	51	21	14	38	18
gene_150	76	51	11	5	53	16	21	3	3	15	9
gene_151	883	879	929	915	868	251	232	265	216	197	205
gene_152	366	347	319	373	345	65	85	86	89	100	111
gene_153	249	332	291	244	276	53	94	67	68	93	61
gene_154	0	9	17	25	10	0	3	6	10	0	1
gene_155	11	25	22	0	2	0	0	1	1	0	0
gene_156	23	27	25	30	59	4	17	7	5	14	5
gene_157	0	68	27	43	59	0	7	8	22	0	3
gene_158	467	263	215	237	676	64	96	115	61	76	80
gene_159	15	17	22	11	19	10	9	11	8	2	8
gene_160	14	7	32	2	44	1	2	2	4	6	5
gene_161	201	155	215	208	190	52	15	27	26	42	41
gene_162	587	796	919	632	697	212	185	177	189	181	230
gene_163	60	179	86	42	96	5	11	10	3	19	15
gene_164	107	34	15	7	10	10	29	0	0	23	25
gene_165	113	142	178	110	74	30	30	25	36	23	27
gene_166	5	21	4	2	3	2	3	0	3	3	2
gene_167	213	283	442	116	337	72	67	79	70	110	54
gene_168	390	205	243	361	210	85	79	78	98	46	53
gene_169	125	208	129	90	64	30	33	41	48	8	36
gene_170	2534	2491	2335	2314	2144	572	615	556	556	591	520
gene_171	271	666	419	372	396	200	147	94	84	48	17
gene_172	13	4	16	62	24	3	5	2	1	1	3
gene_173	4072	1733	11898	2027	4223	1144	382	938	1906	1190	768
gene_174	101	27	39	59	62	7	1	14	14	14	9
gene_175	32	72	103	70	107	21	19	10	48	20	27
gene_176	2005	3359	3040	3095	3509	1447	1021	801	548	1260	694
gene_177	13	28	15	22	17	8	4	4	6	7	5
gene_178	11	37	34	32	8	1	4	6	6	7	11
gene_179	61	59	67	56	90	13	43	12	30	17	16
gene_180	265	105	154	246	254	26	64	41	61	37	33
gene_181	474	242	514	465	375	145	215	46	193	142	124
gene_182	0	1	0	0	0	3	0	1	1	0	1
gene_183	0	1	0	0	2	0	0	1	1	2	1
gene_184	14	8	12	49	12	1	10	15	3	5	2
gene_185	713	1215	886	900	916	177	166	147	167	83	160
gene_186	77	34	76	113	126	27	25	22	19	9	32
gene_187	376	402	442	438	408	98	95	102	119	108	115
gene_188	0	43	0	0	10	0	38	5	0	0	9
gene_189	77	89	83	78	94	14	15	16	13	27	25
gene_190	791	848	567	666	780	135	196	127	299	227	233
gene_191	158	284	167	342	158	57	33	111	48	37	42
gene_192	69	158	91	142	157	40	33	43	30	24	42
gene_193	66	85	124	139	92	21	32	13	28	22	34
gene_194	27	30	34	30	27	8	2	2	3	8	1
gene_195	146	149	125	101	113	49	33	37	39	29	25
gene_196	328	150	287	276	206	56	86	64	79	61	40
gene_197	141	163	38	76	135	9	45	98	23	45	34
gene_198	0	70	30	56	6	1	4	1	0	17	1
gene_199	8	6	4	2	16	3	3	0	5	8	1
gene_200	241	266	287	267	273	47	46	68	57	75	85
gene_201	297	265	423	324	394	71	93	98	73	83	74
gene_202	38	73	28	44	24	16	13	8	19	7	13
gene_203	30	34	10	21	9	5	6	11	13	10	3
gene_204	73	120	113	102	98	32	19	30	21	18	19
gene_205	1	2	3	1	2	1	0	0	0	1	0
gene_206	2	14	21	15	0	1	0	1	1	2	6
gene_207	12	2	1	1	2	0	0	2	0	1	0
gene_208	52	50	67	107	39	11	17	14	14	13	23
gene_209	101	6	64	56	15	4	2	1	0	2	0
gene_210	15	6	11	19	26	1	4	7	4	1	3
gene_211	55	73	169	151	166	18	22	33	22	25	23
gene_212	3	89	38	4	46	23	0	5	4	1	16
gene_213	56	43	285	148	521	41	28	23	71	27	35
gene_214	103	113	27	91	75	6	5	6	14	16	27
gene_215	175	166	295	202	193	42	28	43	28	42	47
gene_216	236	230	466	349	282	77	184	61	86	120	61
gene_217	197	125	173	134	234	29	25	38	33	50	26
gene_218	2	0	6	0	0	4	0	0	0	2	0
gene_219	887	753	524	731	651	170	287	148	221	170	225
gene_220	3	3	0	0	16	6	0	1	0	0	0
gene_221	0	27	1	3	0	0	4	0	0	2	1
gene_222	317	269	255	216	246	75	56	92	56	55	52
gene_223	1	2	1	6	0	0	1	0	0	0	0
gene_224	308	361	274	249	186	68	55	47	76	72	73
gene_225	49	33	28	39	28	19	4	9	19	8	9
gene_226	57	51	52	49	63	11	11	21	23	13	21
gene_227	248	221	257	236	203	62	71	55	44	35	70
gene_228	24	20	20	34	25	2	12	5	13	1	0
gene_229	27	6	1	3	0	9	3	1	8	4	1
gene_230	1	0	2	8	7	0	0	2	0	3	0
gene_231	185	156	167	182	183	70	46	43	73	41	47
gene_232	79	37	28	0	9	0	58	41	5	9	0
gene_233	293	324	317	337	322	78	66	70	79	75	76
gene_234	126	41	286	213	144	43	78	17	19	62	40
gene_235	220	79	92	140	57	57	81	17	30	30	57
gene_236	112	20	153	44	121	32	35	48	10	48	31
gene_237	477	576	456	651	576	132	158	134	155	168	155
gene_238	11458	12538	7244	7198	7202	3103	1804	1781	2154	2368	2205
gene_239	89	30	39	130	253	30	10	9	25	10	22
gene_240	10	4	18	1	7	4	0	3	5	0	2
gene_241	96	93	76	38	46	15	9	20	19	19	13
gene_242	5	18	0	0	17	1	12	0	0	0	0
gene_243	104	365	177	63	126	54	81	11	45	74	94
gene_244	7	189	1217	13	34	2	4	44	13	81	8
gene_245	284	179	226	418	245	55	23	37	24	61	57
gene_246	36	64	27	46	17	17	25	4	11	9	12
gene_247	2386	1873	1694	3415	2280	1168	861	589	531	519	691
gene_248	8	19	16	7	0	0	2	5	0	16	1
gene_249	201	160	153	258	134	101	57	79	42	38	9
gene_250	687	462	602	544	371	152	121	98	106	129	161
gene_251	0	0	4	2	0	0	2	0	1	0	0
gene_252	0	0	8	31	13	12	24	1	0	0	0
gene_253	29	5	13	5	9	8	7	16	2	2	1
gene_254	472	45	64	106	208	13	45	3	18	25	59
gene_255	1	4	0	16	0	0	3	5	0	0	0
gene_256	9	52	1	25	2	11	3	1	9	2	3
gene_257	3	36	16	36	9	23	0	1	3	2	6
gene_258	1	5	7	1	0	1	0	0	0	0	0
gene_259	0	5	2	1	3	0	0	0	0	0	0
gene_260	1428	1582	1864	830	2383	360	454	499	190	314	347
gene_261	240	239	273	252	277	47	54	73	87	73	65
gene_262	260	219	213	222	202	52	67	53	57	59	53
gene_263	38	0	1	17	137	1	17	1	0	2	2
gene_264	91	97	106	279	239	30	12	19	7	21	53
gene_265	155	175	237	247	242	82	60	48	28	35	37
gene_266	10	23	16	5	20	4	0	6	0	3	0
gene_267	107	63	132	223	383	21	18	18	15	30	27
gene_268	3	4	5	2	0	1	0	0	2	2	1
gene_269	293	204	558	252	314	82	128	114	81	79	40
gene_270	61	42	49	53	48	14	19	3	15	13	10
gene_271	43	2	8	1	7	5	0	1	0	2	4
gene_272	6	4	4	7	13	1	0	5	3	5	0
gene_273	8	11	5	132	7	2	1	3	9	5	0
gene_274	0	10	7	12	4	5	0	0	0	7	1
gene_275	893	977	870	906	839	227	221	220	203	216	223
gene_276	361	503	470	218	281	86	117	102	68	65	141
gene_277	231	187	163	195	175	41	45	40	39	50	48
gene_278	82	56	59	21	37	6	15	12	31	10	13
gene_279	7	75	5	12	13	2	3	8	22	0	2
gene_280	1	5	0	13	9	2	3	0	3	1	1
gene_281	202	132	121	84	126	31	31	4	8	76	20
gene_282	365	422	485	441	442	85	107	117	95	75	105
gene_283	17	136	2	0	30	24	9	103	78	10	13
gene_284	122	81	61	59	24	19	17	6	6	7	5
gene_285	171	177	139	120	162	20	29	67	29	29	19
gene_286	546	411	607	568	347	53	92	195	74	131	92
gene_287	16	0	0	0	57	5	6	0	0	0	0
gene_288	2	0	0	0	7	0	1	2	0	0	0
gene_289	306	219	271	217	232	48	42	55	41	64	31
gene_290	136	86	179	91	99	18	33	11	50	17	14
gene_291	1692	1865	1939	2208	2211	816	553	674	637	665	512
gene_292	291	302	445	159	182	89	43	59	45	134	56
gene_293	382	479	383	232	373	101	99	108	98	112	70
gene_294	393	435	340	409	426	93	81	106	94	113	123
gene_295	8	25	0	21	10	1	2	7	3	2	5
gene_296	1	0	0	1	1	0	0	0	0	0	0
gene_297	4	1	0	2	6	0	0	0	0	2	1
gene_298	90	65	36	76	37	17	21	24	8	5	19
gene_299	430	200	311	351	208	68	38	74	59	60	64
gene_300	27	48	73	40	104	31	14	26	30	7	19
gene_301	128	78	191	156	96	34	27	38	13	18	26
gene_302	514	147	380	344	377	86	118	33	149	76	81
gene_303	35	33	15	26	4	2	7	1	11	8	8
gene_304	7	2	6	4	3	1	1	2	2	1	2
gene_305	259	197	278	266	226	65	63	53	67	74	60
gene_306	29	16	24	22	23	6	8	5	4	4	5
gene_307	155	227	138	162	176	35	23	50	62	62	34
gene_308	2	5	0	0	7	1	1	9	0	2	0
gene_309	6	1	6	1	2	5	0	0	1	0	0
gene_310	5	142	14	11	175	2	7	2	2	3	34
gene_311	868	485	167	307	491	180	55	231	116	213	166
gene_312	485	500	530	349	349	114	113	103	78	113	111
gene_313	17	51	8	8	11	4	7	7	0	3	8
gene_314	4	2	4	2	0	0	0	0	0	0	0
gene_315	250	256	268	245	208	72	76	78	65	85	74
gene_316	1623	2657	2059	2096	2085	513	564	522	477	472	513
gene_317	490	1210	825	709	1795	214	433	272	287	487	274
gene_318	7	1	0	14	0	1	2	0	0	0	2
gene_319	72	41	91	77	204	22	29	26	27	28	8
gene_320	660	2022	1210	866	1053	181	185	190	183	118	347
gene_321	201	209	223	293	135	44	27	20	46	40	75
gene_322	118	128	239	95	128	36	34	89	46	17	86
gene_323	595	674	457	777	425	120	145	141	146	144	147
gene_324	34	16	34	17	29	15	3	10	10	0	6
gene_325	146	154	135	105	109	26	36	34	31	26	33
gene_326	70	15	2	35	10	8	8	8	2	6	11
gene_327	330	293	315	434	283	71	93	83	87	99	76
gene_328	168	122	145	137	131	21	31	25	40	31	25
gene_329	401	383	481	389	386	117	87	119	102	97	92
gene_330	1	2	6	0	2	0	0	2	3	2	1
gene_331	0	1	1	29	25	6	17	0	0	0	3
gene_332	96	488	375	2100	355	12	39	12	96	229	260
gene_333	102	107	158	116	40	29	107	60	24	39	81
gene_334	1011	792	1726	999	1420	231	313	272	230	329	245
gene_335	98	68	72	81	107	17	16	12	22	30	14
gene_336	2	2	0	0	1	0	1	0	0	1	0
gene_337	4	8	10	14	1	1	0	4	0	1	8
gene_338	0	11	68	71	36	4	8	18	6	22	16
gene_339	144	74	71	89	47	10	28	32	15	48	23
gene_340	23	41	2	64	0	0	10	17	7	2	2
gene_341	64	48	99	29	48	19	7	11	15	22	12
gene_342	42	11	54	50	47	17	11	10	8	5	15
gene_343	3	78	5	56	137	0	1	5	9	16	19
gene_344	132	198	152	147	122	26	21	13	20	20	6
gene_345	17	0	5	0	21	0	0	0	0	0	9
gene_346	25	0	0	0	12	11	12	0	1	0	5
gene_347	70	87	45	32	120	17	4	24	38	6	13
gene_348	25	43	34	32	49	6	5	10	4	1	9
gene_349	34	15	9	7	0	0	0	1	2	4	2
gene_350	694	803	791	644	851	210	215	197	156	227	164
gene_351	16	27	18	5	22	1	3	11	3	10	5
gene_352	48	35	31	35	45	13	15	14	8	11	8
gene_353	1647	2700	1154	2944	513	474	369	576	544	486	160
gene_354	48	74	54	53	95	18	24	18	14	19	16
gene_355	5624	4703	3084	4385	4314	1052	1056	1491	1953	1426	917
gene_356	39	107	65	65	67	33	25	20	14	9	28
gene_357	211	236	332	189	279	46	53	83	69	60	70
gene_358	1	3	4	4	2	0	1	0	3	0	0
gene_359	4	0	1	1	0	0	1	1	1	2	0
gene_360	10	5	0	0	7	11	1	0	0	5	5
gene_361	74	42	69	73	45	563	417	517	636	482	556
gene_362	7	13	25	0	20	59	122	88	61	129	145
gene_363	2	6	4	4	5	25	87	0	51	48	17
gene_364	137	282	62	896	620	244	2982	767	1749	4878	6912
gene_365	14	4	6	12	6	31	39	99	63	89	53
gene_366	52	81	99	81	76	607	947	967	997	908	783
gene_367	39	18	18	34	56	274	424	235	587	193	309
gene_368	42	48	38	45	32	367	370	337	330	352	346
gene_369	27	37	40	28	24	287	234	224	353	404	235
gene_370	123	214	122	158	134	1518	1109	473	1548	1167	1206
gene_371	62	48	43	46	42	428	400	454	382	312	379
gene_372	24	13	16	20	30	153	246	90	227	141	213
gene_373	11	18	20	9	8	237	79	149	13	73	88
gene_374	818	759	606	760	812	7296	8732	7564	6940	4979	6519
gene_375	47	22	23	46	37	299	224	700	235	285	135
gene_376	10	57	125	119	12	371	427	668	1261	241	751
gene_377	0	0	0	1	0	15	2	11	14	2	0
gene_378	44	55	45	59	73	409	616	345	377	419	512
gene_379	9	1	6	0	0	148	18	5	24	68	4
gene_380	257	241	246	253	258	2250	2249	2244	2259	2275	2240
gene_381	0	0	0	0	0	3	2	0	1	2	1
gene_382	8	4	31	2	31	3	143	155	68	69	238
gene_383	1	4	13	16	8	59	6	87	22	21	0
gene_384	34	41	40	27	44	245	217	283	443	665	232
gene_385	144	138	133	142	181	1527	1331	1413	1740	1687	1551
gene_386	156	55	185	293	143	2852	756	1952	683	2459	1819
gene_387	3	21	13	3	2	21	55	87	56	12	101
gene_388	10	8	17	6	10	119	85	159	118	112	83
gene_389	105	91	115	80	132	1546	812	484	1019	708	604
gene_390	8	6	7	5	10	65	58	54	43	58	40
gene_391	29	42	54	29	45	380	334	309	310	420	360
gene_392	36	28	38	47	21	228	512	340	447	274	428
gene_393	56	135	90	59	291	852	1934	589	1797	2007	1028
gene_394	11	9	16	12	9	60	159	45	110	172	42
gene_395	351	607	1414	627	244	9787	1880	3143	4089	11919	3890
gene_396	4	4	0	9	7	47	39	15	68	24	18
gene_397	36	34	20	27	31	416	269	255	354	383	329
gene_398	9	1	1	25	3	86	161	165	58	146	79
gene_399	24	25	40	25	28	229	264	170	220	215	283
gene_400	241	360	202	386	294	2825	2534	2520	2718	2743	3159
gene_401	0	0	0	34	61	66	3	38	8	1	15
gene_402	5	1	0	10	1	5	10	0	1	0	0
gene_403	2	13	14	3	14	8	8	1	22	8	6
gene_404	1	1	0	0	0	0	0	0	0	1	1
gene_405	18	9	27	26	84	29	49	18	27	34	39
gene_406	10	2	4	0	0	11	0	13	3	19	2
gene_407	2	0	10	0	0	0	0	1	0	7	0
gene_408	0	1	0	3	0	1	3	0	1	2	0
gene_409	17	81	81	22	55	72	89	66	90	15	55
gene_410	71	159	96	100	14	175	106	143	71	129	122
gene_411	1	0	0	0	0	0	0	2	1	1	2
gene_412	25	55	4	88	14	93	33	0	73	15	40
gene_413	376	355	388	326	257	241	198	293	227	274	329
gene_414	2	6	136	16	55	52	149	9	2	0	45
gene_415	23	6	16	4	21	3	9	6	8	6	7
gene_416	0	0	1	6	0	1	3	1	2	0	0
gene_417	365	282	414	319	303	294	538	244	524	301	328
gene_418	12	74	7	5	11	13	8	10	10	32	37
gene_419	94	72	83	99	85	93	90	79	103	67	73
gene_420	10	16	13	6	7	12	14	16	19	11	7
gene_421	1	0	0	0	0	1	0	0	0	0	0
gene_422	1	3	5	4	4	1	8	6	1	6	6
gene_423	42	49	57	125	89	105	76	87	111	93	98
gene_424	117	133	67	143	96	108	102	134	108	87	219
gene_425	150	229	235	278	234	220	202	284	241	241	167
gene_426	10	28	0	64	2	7	3	9	0	1	2
gene_427	31	110	17	54	11	4	33	18	46	16	70
gene_428	0	3	2	1	1	0	1	0	0	0	2
gene_429	6	10	42	39	8	8	10	19	22	18	15
gene_430	2	5	0	2	3	1	3	3	5	2	2
gene_431	98	103	93	82	119	89	122	106	96	109	93
gene_432	31	42	35	34	44	24	35	38	46	37	36
gene_433	0	1	1	3	0	6	0	0	0	0	2
gene_434	0	0	1	0	2	1	3	23	0	0	25
gene_435	52	94	78	55	66	84	38	64	78	98	82
gene_436	4	0	4	2	4	4	0	6	3	2	4
gene_437	38	34	47	44	22	48	48	42	42	29	33
gene_438	136	160	74	142	194	193	194	107	122	175	147
gene_439	5	1	4	0	3	4	2	2	4	1	7
gene_440	5	7	3	4	3	6	6	3	3	5	4
gene_441	1	4	8	0	3	6	1	5	1	2	1
gene_442	23	22	15	19	25	18	28	22	20	21	26
gene_443	66	119	98	133	78	75	141	131	90	77	94
gene_444	182	217	150	188	99	120	139	166	198	111	220
gene_445	311	286	339	334	334	350	357	264	348	310	300
gene_446	6	16	7	8	14	14	12	1	7	8	2
gene_447	10	8	0	9	9	2	1	4	2	1	1
gene_448	0	0	0	21	19	5	13	11	9	7	13
gene_449	0	8	0	0	2	0	2	14	2	4	0
gene_450	10	18	33	59	27	21	36	26	28	33	45
gene_451	0	0	0	2	1	1	2	6	2	1	1
gene_452	40	40	33	46	37	36	30	33	40	42	36
gene_453	0	5	3	0	0	4	0	1	9	4	4
gene_454	159	208	94	89	56	157	141	81	237	40	44
gene_455	14	9	6	13	7	10	13	10	9	10	12
gene_456	176	235	317	163	133	319	160	404	314	179	258
gene_457	4	6	4	23	16	2	8	4	13	15	15
gene_458	3	2	4	14	2	7	2	9	4	11	11
gene_459	1	5	20	24	7	18	24	53	11	14	18
gene_460	13	15	15	7	20	5	9	16	22	24	14
gene_461	429	637	421	372	448	553	520	395	446	454	602
gene_462	1	1	3	2	2	7	0	4	2	2	4
gene_463	0	0	0	7	2	0	0	1	0	2	0
gene_464	2723	2040	1411	1585	1286	911	2365	2234	3133	2018	2290
gene_465	226	238	222	214	203	198	216	208	211	182	220
gene_466	14	19	21	17	16	8	13	17	17	16	22
gene_467	0	8	12	3	15	2	11	2	0	5	2
gene_468	32	81	39	65	58	113	46	67	94	95	42
gene_469	17	13	11	14	13	12	19	12	16	19	10
gene_470	1	0	0	1	0	2	4	2	2	0	8
gene_471	4	1	11	0	10	2	3	0	2	4	2
gene_472	96	151	132	145	60	159	91	112	153	79	57
gene_473	450	422	374	620	364	571	478	506	591	458	274
gene_474	133	32	144	196	27	54	45	148	73	74	39
gene_475	39	54	54	57	78	48	55	48	72	67	72
gene_476	4	5	6	2	4	8	2	3	1	4	2
gene_477	86	74	79	65	43	84	47	56	72	56	64
gene_478	12	6	9	12	12	7	4	6	7	14	3
gene_479	30	29	21	34	34	36	39	25	37	26	38
gene_480	3	2	4	0	0	0	2	7	0	0	2
gene_481	56	74	100	60	90	72	64	74	83	77	71
gene_482	2	11	6	9	9	4	1	5	8	3	3
gene_483	0	0	1	0	1	0	2	0	0	0	0
gene_484	27	36	74	83	48	67	30	44	52	22	39
gene_485	23	21	33	53	22	22	44	59	50	59	26
gene_486	0	20	0	0	3	1	0	1	0	0	4
gene_487	42	171	139	34	129	151	80	83	96	134	104
gene_488	565	454	649	358	460	341	686	154	400	562	495
gene_489	400	294	394	351	352	221	201	360	386	382	291
gene_490	54	46	69	49	40	46	56	52	55	47	55
gene_491	11	7	50	0	1	5	10	0	9	7	18
gene_492	1	0	0	4	0	0	0	0	12	11	0
gene_493	236	274	212	184	222	151	148	152	171	174	267
gene_494	6	3	27	16	39	6	33	3	4	24	51
gene_495	226	180	197	173	200	211	147	163	202	180	165
gene_496	6	7	14	12	62	38	5	12	49	12	28
gene_497	43	33	46	57	38	13	38	51	35	20	19
gene_498	211	173	287	181	296	292	205	220	150	134	152
gene_499	9	6	2	4	2	11	6	7	4	5	4
gene_500	211	426	377	228	470	456	334	181	780	218	580
gene_501	68	35	145	55	37	54	54	58	56	75	51
gene_502	16	11	18	15	7	21	6	9	18	11	13
gene_503	48	74	92	123	110	92	117	96	125	54	77
gene_504	34	48	63	26	31	39	43	33	46	51	43
gene_505	24	44	26	37	34	45	39	47	47	41	39
gene_506	2	2	2	0	1	4	4	0	1	1	1
gene_507	29	24	21	20	27	24	15	19	27	25	30
gene_508	136	107	106	87	92	170	156	101	128	193	91
